Variable,Variable Number,Topic,Topic Number,Subtopic,Subtopic Number,Survey Years,Availability,Description,Table Name,Type,Edit Flag Variable,Imputation Strategy,Response Codes,Question Text,Instrument Variable Name(s),Disclosure,Conditions in Universe,User Notes
INUSYR,18,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Year person came to the US,PERSON,Numeric,JINUSYR,Coming soon,1920 : 20XX: 1920 to 20XX||N or -6: Not applicable,When did you come to live in the United States?,INUSYR,None,INTSTATUS = '1' and NATVTY not in ('057' '058' '060' '061' '066' '069' '073' '077' '078' '083' '087' '096' '677'),
MOVE,19,Demographics,6,Person Demographics,5,"2019 National, 2017 National, 2015 National",PUF,Year person moved in,PERSON,Numeric,JMOVE,Coming soon,1919 : YYYY: 1919 to YYYY,When did you move to this unit?,WHENYR,Perturbed,INTSTATUS = '1',
MOVE,19,Demographics,6,Person Demographics,5,"2019 Metro, 2017 Metro, 2015 Metro",PUF,Year person moved in,PERSON,Numeric,JMOVE,Coming soon,1919 : 20XX: 1919 to 20XX,When did you move to this unit?,WHENYR,Perturbed,INTSTATUS = '1',
MOVM,21,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",IUF Only,Month person moved in,PERSON,Numeric,JMOVM,Coming soon,1: January||2: February||3: March||4: April||5: May||6: June||7: July||8: August||9: September||10: October||11: November||12: December,When did you move to this unit?,WHENMON,Withheld,INTSTATUS = '1',
GRAD,22,Demographics,6,Person Demographics,5,"2019 National, 2017 National",PUF,Educational level of person,PERSON,Character,JGRAD,Coming soon,". or -9: Not reported||31: Less than 1st grade||32: 1st, 2nd, 3rd, or 4th grade||33: 5th or 6th grade||34: 7th or 8th grade||35: 9th grade||36: 10th grade||37: 11th grade||38: 12th grade, no diploma||39: High school graduate - high school diploma or equivalent (For example: GED)||40: Some college but no degree||41: Diploma or certificate from a vocational, technical, trade or business school beyond||42: Associate degree in college - occupational / vocational program||43: Associate degree in college - academic program||44: Bachelor's degree (For example: BA, AB, BS)||45: Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)||46: Professional School Degree (For example: MD, DDS, DVM, LLB, JD)||47: Doctorate degree (For example: PhD, EdD)||N or -6: Not applicable",What is the highest level of school you have completed or the highest degree you have received?,EDUCA,None,INTSTATUS = '1' and AGE > 17,The type for this variable changed in 2015 from numeric to character.
GRAD,22,Demographics,6,Person Demographics,5,2019 Metro,PUF,Educational level of person,PERSON,Character,JGRAD,Coming soon,"31: Less than 1st grade||32: 1st, 2nd, 3rd, or 4th grade||33: 5th or 6th grade||34: 7th or 8th grade||35: 9th grade||36: 10th grade||37: 11th grade||38: 12th grade, no diploma||39: High school graduate - high school diploma or equivalent (For example: GED)||40: Some college but no degree||41: Diploma or certificate from a vocational, technical, trade or business school beyond||42: Associate degree in college - occupational / vocational program||43: Associate degree in college - academic program||44: Bachelor's degree (For example: BA, AB, BS)||45: Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)||46: Professional School Degree (For example: MD, DDS, DVM, LLB, JD)||47: Doctorate degree (For example: PhD, EdD)||N or -6: Not applicable",What is the highest level of school you have completed or the highest degree you have received?,EDUCA,None,INTSTATUS = '1' and AGE > 17,The type for this variable changed in 2015 from numeric to character.
ENROLL,23,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro",PUF,Flag indicating person currently enrolled in school,PERSON,Character,JENROLL,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,See User Notes,See User Notes,Withheld,INTSTATUS eq '1' and SPLITSAMP eq '1' and AGE > 15,"PSCENROLL, ENROLL, PSCHHENROLL and HHENROLL are determined using HSTUDENT (Who was in high school) and PSCSTUDENT (Who was in college or some other type of school beyond high school)."
FAMLINE,24,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Family number of person,PERSON,Character,JFAMLINE,Coming soon,0: Not a family||1: Primary subfamily||2: 1st subfamily||3: 2nd subfamily||4: 3rd subfamily||5: 4th subfamily||6: 5th subfamily||7: 6th subfamily||8: 7th subfamily||9: 8th subfamily,NA,NA,None,INTSTATUS = '1',
FAMREL,25,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Family relationship of person,PERSON,Character,JFAMREL,Coming soon,0: Not in a family||1: Reference person of family||2: Spouse of reference person of family||3: Child of reference person of family||4: Other relative of reference person of family,NA,NA,None,INTSTATUS = '1',
FAMTYP,26,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Family type of person,PERSON,Character,JFAMTYP,Coming soon,1: Primary family||2: Primary individual||3: Related subfamily||4: Unrelated subfamily||5: Secondary individual,NA,NA,None,INTSTATUS = '1',
MIL,27,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Military status of person,PERSON,Character,JMIL,Coming soon,1: Now on active duty||2: Served on active duty in the past||3: Never served in military||M or -9: Not reported||N or -6: Not applicable,See User Notes,See User Notes,None,INTSTATUS = '1' and AGE > 16 and AGE < 101,MIL is determined using AFEVER (Did you ever serve on active duty in the U. S. Armed Forces?) and AFNOW (Are you now in the Armed Forces?).
MLPA,28,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating this person served in September 2001 or later,PERSON,Character,JMLPA,Coming soon,1: Yes||2: No||N or -6: Not applicable,When did you serve? (Mark up to 4 that apply),AFWHEN,None,MIL = '2' and AGE >= 17 and AGE <= ([year of survey] - 1939),
MLPB,29,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating this person served in from August 1990 - August 2001 (including Persian Gulf War),PERSON,Character,JMLPB,Coming soon,1: Yes||2: No||N or -6: Not applicable,When did you serve? (Mark up to 4 that apply),AFWHEN,None,MIL = '2' and AGE >= ([year of survey] - 1983) and AGE <= ([year of survey] - 1928),
MLPCD,30,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating this person served in from May 1975 - July 1990,PERSON,Character,JMLPCD,Coming soon,1: Yes||2: No||N or -6: Not applicable,When did you serve? (Mark up to 4 that apply),AFWHEN,None,MIL = '2' and AGE >= ([year of survey] - 1972) and AGE <= ([year of survey] - 1913),
MLPE,31,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating this person served in Vietnam era (August 1964 - April 1975),PERSON,Character,JMLPE,Coming soon,1: Yes||2: No||N or -6: Not applicable,When did you serve? (Mark up to 4 that apply),AFWHEN,None,MIL = '2' and AGE >= ([year of survey] - 1957) and AGE <= ([year of survey] - 1906),
MLPFG,32,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating this person served from February 1955 - July 1964,PERSON,Character,JMLPFG,Coming soon,1: Yes||2: No||N or -6: Not applicable,When did you serve? (Mark up to 4 that apply),AFWHEN,None,MIL = '2' and AGE >= ([year of survey] - 1946) and AGE <= ([year of survey] - 1906),
MLPH,33,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating this person served in Korean War (July 1950 - January 1955),PERSON,Character,JMLPH,Coming soon,1: Yes||2: No||N or -6: Not applicable,When did you serve? (Mark up to 4 that apply),AFWHEN,None,MIL = '2' and AGE >= ([year of survey] - 1937) and AGE <= ([year of survey] - 1906),
MLPI,34,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating this person served from January 1947 - June 1950,PERSON,Character,JMLPI,Coming soon,1: Yes||2: No||N or -6: Not applicable,When did you serve? (Mark up to 4 that apply),AFWHEN,None,MIL = '2' and AGE >= ([year of survey] - 1932) and AGE <= ([year of survey] - 1906),
MLPJ,35,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating this person served in World War II (December 1941 - December 1946),PERSON,Character,JMLPJ,Coming soon,1: Yes||2: No||N or -6: Not applicable,When did you serve? (Mark up to 4 that apply),AFWHEN,None,MIL = '2' and AGE >= ([year of survey] - 1928) and AGE <= ([year of survey] - 1906),
MLPK,36,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating this person served in November 1941 or earlier,PERSON,Character,JMLPK,Coming soon,1: Yes||2: No||N or -6: Not applicable,When did you serve? (Mark up to 4 that apply),AFWHEN,None,MIL = '2' and AGE >= ([year of survey] - 1923) and AGE <= ([year of survey] - 1906),
MOVERGRP,37,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Recent mover group,PERSON,Character,JMOVERGRP,Coming soon,1: Mover group 1||2: Mover group 2||3: Mover group 3||4: Mover group 4||M or -9: Not reported||N or -6: Not applicable,NA,NA,None,INTSTATUS = '1' and ((([year of survey] - 2) < MOVE) or ((([year of survey] - 2) = MOVE) and [month of survey] <= MOVM)),"If using single file version of AHS, this variable becomes MOVERGRP1 - MOVERGRP16. Follow-up questions are asked only for mover groups 1, 2, and 3. Mover group 4 is a composite variable of all other mover groups in the household."
PSCATTEND,43,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro",PUF,Indicates whether the person attended post-secondary school full-time or part-time,PERSON,Character,JPSCATTEND,Coming soon,1: Full time||2: Part time||M: Not reported||N: Not applicable,"In March of this year, were you attending college or school full-time or part-time?",PSCATTEND,None,INTSTATUS eq '1' and SPLITSAMP eq '1' and PSCSTATUS in ('1' '2' '3' 'M'),
PSCDEGREE,44,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro",PUF,Type of post-secondary degree program person is currently enrolled in,PERSON,Character,JPSCDEGREE,Coming soon,1: Trade certificate / degree||2: Associate degree||3: Bachelor's degree||4: Master's degree||5: Professional school degree||6: Doctoral degree||7: Non-degree program||M: Not reported||N: Not applicable,"What degree or certificate are you working towards, if any?",PSCDEGREE,None,INTSTATUS eq '1' and SPLITSAMP eq '1' and PSCSTATUS eq '1',
PSCENROLL,45,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro",PUF,"Indicates whether person has been enrolled in high school, post-secondary school, or both since March 2019",PERSON,Character,JPSCENROLL,Coming soon,1: Enrolled in high school||2: Enrolled in post-secondary school||3: Enrolled in both high school and post-secondary school||4: Not enrolled||M: Not reported||N: Not applicable,See User Notes,See User Notes,None,INTSTATUS eq '1' and SPLITSAMP eq '1' and AGE > 15,"PSCENROLL, ENROLL, PSCHHENROLL and HHENROLL are determined using HSTUDENT (Who was in high school) and PSCSTUDENT (Who was in college or some other type of school beyond high school)."
PSCLIVE,46,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro",PUF,Living arrangement for person while attending post-secondary school,PERSON,Character,JPSCLIVE,Coming soon,1: Living in unit||2: Living in dorm||3: Other living arrangement||M: Not reported||N: Not applicable,See User Notes,See User Notes,None,INTSTATUS eq '1' and SPLITSAMP eq '1' and PSCSTATUS in ('1' '2' '3' 'M'),"PSCLIVE and PSCLIVEH are determined using PSCLIVE (Were you living at this house in March of this year while you were attending college or school?) and PSCDORM (Were you living in housing owned by the college or school, such as a dorm, in March of this year?)."
PSCPUBPR,47,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro",PUF,Indicates whether the person attended public or private school for post-secondary enrollment,PERSON,Character,JPSCPUBPR,Coming soon,1: Public||2: Private||M: Not reported||N: Not applicable,Is the college or school Public or Private?,PSCPUBPR,None,INTSTATUS eq '1' and SPLITSAMP eq '1' and PSCSTATUS in ('1' '2' '3' 'M'),
PSCSTATUS,48,Demographics,6,Person Demographics,5,"2019 National, 2019 Metro",PUF,Indicates whether person was enrolled in or completed post-secondary program at the time of interview,PERSON,Character,JPSCSTATUS,Coming soon,"1: Still enrolled in program||2: Completed program||3: Not enrolled, did not complete||M: Not reported||N: Not applicable",See User Notes,See User Notes,None,INTSTATUS eq '1' and SPLITSAMP eq '1' and PSCATTEND in ('1' '2' 'M'),PSCSTATUS and PSCSTATUS are determined using PSCSTILL (Are you still enrolled in college or school or will you be in the next few months?) and PSCCOMP (Did you complete the program?).
PHEAR,1,Demographics,6,Person Disability,6,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating this person has difficulty hearing,PERSON,Character,JPHEAR,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Are you deaf or do you have serious difficulty hearing?,HEARING,None,INTSTATUS = '1',
PSEE,2,Demographics,6,Person Disability,6,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating this person has difficulty seeing,PERSON,Character,JPSEE,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Are you blind or do you have serious difficulty seeing even when wearing glasses?,SEEING,None,INTSTATUS = '1',
PMEMRY,3,Demographics,6,Person Disability,6,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating this person has difficulty concentrating or remembering,PERSON,Character,JPMEMRY,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?",MEMRY,None,INTSTATUS = '1' and AGE >= 5,
PWALK,4,Demographics,6,Person Disability,6,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating this person has difficulty walking or climbing stairs,PERSON,Character,JPWALK,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Do you have serious difficulty walking or climbing stairs?,WALKING,None,INTSTATUS = '1' and AGE >= 5,
PCARE,5,Demographics,6,Person Disability,6,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating this person has difficulty dressing or bathing,PERSON,Character,JPCARE,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Do you have difficulty dressing or bathing?,SELFCARE,None,INTSTATUS = '1' and AGE >= 5,
PERRND,6,Demographics,6,Person Disability,6,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating this person has difficulty doing errands,PERSON,Character,JPERRND,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping?",ERRANDS,None,INTSTATUS = '1' and AGE >= 15,
HINCP,1,Income,7,Total Household Income,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Household income (past 12 months),HOUSEHOLD,Numeric,JHINCP,Coming soon,"-99999999 : 99999998: -$99,999,999 to $99,999,998||99999999: $99,999,999 or more||N or -6: Not applicable",NA,NA,Topcoded,INTSTATUS = '1',HINCP is the sum of all types of income for all household members age 16 and over.
FINCP,2,Income,7,Total Household Income,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Family income (past 12 months),HOUSEHOLD,Numeric,JFINCP,Coming soon,"-99999999 : 99999998: -$99,999,999 to $99,999,998||99999999: $99,999,999 or more||N or -6: Not applicable",NA,NA,Topcoded,INTSTATUS = '1',FINCP is the sum of all types of income for the householder and all related individuals age 16 and over.
FS,3,Income,7,Total Household Income,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro",PUF,Flag indicating food stamp or supplemental nutrition assistance program recipiency (past 12 months),HOUSEHOLD,Character,JFS,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,"In the 12 months prior to the date of the interview, did you receive benefits from the Food Stamp Benefits Program or SNAP (the Supplemental Nutrition Assistance Program)?",QFS1,None,"INTSTATUS = '1' and at least 1 person has income below $30,000 per year or PAP > 0 or prior year FS = '1'","The universe for FS changed between 2015 and 2017. In 2015 the universe was based on family income and the number of people in the unit. In 2017 it was based on the individual income of people in the unit and other factors such as reporting income from Temporary Assistance for Needy Families (TANF) or if the household reported receiving food assistance in 2015. The 2015 ""conditions in universe"" was INTSTATUS = '1' and ((NUMPEOPLE = 1) and (FINCP <= 35010)) or if ((NUMPEOPLE = 2) and (FINCP <= 47190)) or if ((NUMPEOPLE = 3) and (FINCP <= 59370)) or if ((NUMPEOPLE = 4) and (FINCP <= 71550)) or if ((NUMPEOPLE = 5) and (FINCP <= 83730)) or if ((NUMPEOPLE = 6) and (FINCP <= 95910)) or if ((NUMPEOPLE = 7) and (FINCP <= 108090)) or if ((NUMPEOPLE >= 8) and (FINCP <= 120270))"
CROPSL,4,Income,7,Total Household Income,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",IUF Only,"Flag indicating farm income of $1,000 or more (past 12 months)",HOUSEHOLD,Character,JCROPSL,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,"In the 12 months prior to the date of the interview, did sales of crops, livestock, and other farm products from this place amount to $1,000 or more?",CROPSL,None,INTSTATUS = '1' and URBAN_2010 = '3' and LOTSIZE >= 1 and (COUNT (SEMP <> 0) > 1),
WAGP,1,Income,7,Person Income,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Person's wages or salary income (past 12 months),PERSON,Numeric,JWAGP,Coming soon,"0: Does not receive wage income||1 : 9999997: $1 to $9,999,997||9999998: $9,999,998 or more||N or -6: Not applicable",See User Notes,SALQ,Rounded/Topcoded,INTSTATUS = '1' and AGE >= 16,"Respondents were first asked QSAL (In the 12 months prior to the date of the interview did you receive any wages, salary, commissions, bonuses, or tips?), and if they replied yes, were then asked SALQ (How much did you receive in the last 12 months)."
SEMP,2,Income,7,Person Income,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Person's self-employment income (past 12 months),PERSON,Numeric,JSEMP,Coming soon,"0: Does not receive self-employment income||-9999998 : 9999997: -$9,999,998 to $9,999,997||9999998: $9,999,998 or more||N or -6: Not applicable",See User Notes,SELFQ,Rounded/Topcoded,INTSTATUS = '1' and AGE >= 16,"Respondents were first asked QSELF (In the 12 months prior to the date of the interview did you receive any self-employment income?), and if they replied yes, were then asked SELFQ (What was that amount?)."
INTP,3,Income,7,Person Income,3,"2019 National, 2019 Metro",PUF,"Person's interest, dividends, and net rental income (past 12 months)",PERSON,Numeric,JINTP,Coming soon,"0: Does not receive income from interest, dividends or rents||-9999998 : 9999998: -$9,999,998 to $9,999,998||9999999: $9,999,999 or more||N or -6: Not applicable",See User Notes,See User Notes,Rounded/Topcoded,INTSTATUS = '1' and AGE >= 16 and REL<= '08',"INTP is the sum of amounts reported for INTQ, DIVQ, and RENTQ: <br/> Respondents were first asked QINT (In the 12 months prior to the date of the interview did you receive interest from savings, money market funds, CDs, or other interest bearing accounts?), and if they replied yes, were then asked INTQ (What was the amount received?). <br/> The same is true of QDIV and DIVQ (Did you have any dividends from stock?), and QRENT and RENTQ (Did you receive net rental income?)."
SSP,4,Income,7,Person Income,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Person's Social Security income (past 12 months),PERSON,Numeric,JSSP,Coming soon,"0: Does not receive Social Security or railroad income||1 : 9999997: $1 to $9,999,997||9999998: $9,999,998 or more||N or -6: Not applicable",See User Notes,SSQ,Rounded/Topcoded,INTSTATUS = '1' and AGE >= 16 and REL<= '08',"Respondents were first asked QSS (In the 12 months prior to the date of the interview did you receive any Social Security or Railroad Retirement benefits?), and if they replied yes, were then asked SSQ (What was that amount?)."
SSIP,5,Income,7,Person Income,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Person's Supplemental Security Income (past 12 months),PERSON,Numeric,JSSIP,Coming soon,"0: Does not receive Supplemental Security Income||1 : 99997: $1 to $99,997||99998: $99,998 or more||N or -6: Not applicable",See User Notes,SSIQ,Rounded/Topcoded,INTSTATUS = '1' and AGE >= 16 and REL<= '08',"Respondents were first asked QSSI (In the 12 months prior to the date of the interview did you receive any Supplemental Security Income (SSI) payments?), and if they replied yes, were then asked SSIQ (What was that amount?)"
PAP,6,Income,7,Person Income,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro",PUF,Person's public assistance income (past 12 months),PERSON,Numeric,JPAP,Coming soon,"0: Does not receive public assistance income||1 : 99997: $1 to $99,997||99998: $99,998||N or -6: Not applicable",See User Notes,WELFQ,Rounded/Topcoded,INTSTATUS = '1' and AGE >= 16 and Rel <= '08',"Respondents were first asked QWELF (In the 12 months prior to the date of the interview did you receive any public assistance, such as Temporary Assistance for Needy Families (TANF), or public welfare cash assistance from the state or local welfare office?), and if they replied yes, were then asked WELFQ (What was that amount?)."
RETP,7,Income,7,Person Income,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Person's retirement income (past 12 months),PERSON,Numeric,JRETP,Coming soon,"0: Does not receive retirement income||1 : 9999997: $1 to $9,999,997||9999998: $9,999,998 or more||N or -6: Not applicable",See User Notes,RETIRQ,Rounded/Topcoded,INTSTATUS = '1' and AGE >= 16 and REL<= '08',"Respondents were first asked QRETIR (In the 12 months prior to the date of the interview did you receive any retirement or survivor pensions?), and if they replied yes, were then asked RETIRQ (What was that amount?)."
OIP,8,Income,7,Person Income,3,"2019 National, 2019 Metro",PUF,Person's other income (past 12 months),PERSON,Numeric,JOIP,Coming soon,"0: Does not receive income from alimony, Workers' Compensation or other||1 : 9999997: $1 to $9,999,997||9999998: $9,999,998 or more||N or -6: Not applicable",See User Notes,See User Notes,Rounded/Topcoded,INTSTATUS = '1' and AGE >= 16,"For all relatives of the reference person, OIP is the sum of amounts reported for worker's compensation, alimony, and any other income not previously reported. When the person is not a relative of the reference person, OIP is the sum of all types of income, except wages or salary and self-employment income. <br/> The related items are QWKCMPQ (In the 12 months prior to the date of the interview did you receive any disability payments such as SSDI, worker's compensation, veteran's disability or other disability payments?), and it's follow-up WKCMPQ (What was the amount received?), and QALIM and ALIMQ (Did you receive alimony or child support?), and QOTHER and OTHERQ (Did you regularly receive income from any other sources, such as Veteran's (VA) payments or unemployment compensation?)."
MORTAMT,1,Housing Costs,8,Total Housing Cost,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Monthly total mortgage amount (all mortgages),HOUSEHOLD,Numeric,JMORTAMT,Coming soon,"-9999997: -$9,999,997 or less||-9999996 : 9999996: -$9,999,996 to $9,999,996||9999997: $9,999,997 or more||M or -9: Not reported||N or -6: Not applicable",NA,NA,Noise,INTSTATUS = '1' and TENURE = '1' and MORTSTAT in ('2' '3' '4' '5'),"MORTAMT is the sum of PMTAMT (mortgage payment amount) across all mortgages. Some households' property tax and/or homeowner insurance payments are included in a mortgage payment. The property tax and/or homeowner insurance amounts are subtracted from the sum of PMTAMT in such cases. Occasionally the amount of property tax and/or homeowner insurance is greater than the mortgage payment, creating a negative MORTAMT value."
RENT,2,Housing Costs,8,Total Housing Cost,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Monthly rent amount,HOUSEHOLD,Numeric,JRENT,Coming soon,"0: Vacant or URE unit where rent will depend on the occupant's income||1 : 29997: $1 to $29,997||29998: $29,998 or more||N or -6: Not applicable",See User Notes,RENT,Rounded/Topcoded,(INTSTATUS = '1' and TENURE = '2') or INTSTATUS in ('2' '3') and VACANCY in ('01' '02' '04'),"Respondents are first asked FRENT (How many times a year is the rent on your unit due?), then RENT (How much is the rent?). The values shown in the microdata has been converted to the monthly amount."
UTILAMT,3,Housing Costs,8,Total Housing Cost,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Monthly total utility amount,HOUSEHOLD,Numeric,JUTILAMT,Coming soon,"1 : 4997: $1 to $4,997||4998: $4,998 or more||N or -6: Not applicable",NA,NA,Topcoded,INTSTATUS = '1' or (INTSTATUS in ('2' '3') and (VACANCY in ('01' '02' '03' '04' '05'))),"UTILAMT is the sum of ELECAMT, GASAMT, OILAMT, WATERAMT, OTHERAMT, and TRASHAMT."
PROTAXAMT,4,Housing Costs,8,Total Housing Cost,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro",PUF,Monthly property tax amount,HOUSEHOLD,Numeric,JPROTAXAMT,Coming soon,"0 : 8299: $0 to $8,299||8300: $8,300 or more||N or -6: Not applicable",What were the real estate taxes last year?,AMTXQ,Noise,(INTSTATUS = '1' and TENURE = '1'),"PROTAXAMT is collected as an annual amount, but converted to monthly for the microdata file."
INSURAMT,5,Housing Costs,8,Total Housing Cost,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Monthly homeowner or renter insurance amount,HOUSEHOLD,Numeric,JINSURAMT,Coming soon,0 : 832: $0 to $832||833: $833 or more||M or -9: Not reported||N or -6: Not applicable,See User Notes,See User Notes,Noise,INTSTATUS = '1',"Respondents are first asked BUYI1/2 (Does this household have property insurance?), and if they reply yes, then asked the amount. The values shown on the microdata has been converted to a monthly amount."
HOAAMT,6,Housing Costs,8,Total Housing Cost,1,"2019 National, 2019 Metro",PUF,Monthly homeowners or condominium association amount,HOUSEHOLD,Numeric,JHOAAMT,Coming soon,"0 : 48565: $0 to $48,565||48566: $48,566 or more||M or -9: Not reported||N or -6: Not applicable",See User Notes,See User Notes,Noise,( ( INTSTATUS = '1' and TENURE = '1') or ( INTSTATUS in ( '2' '3' ) and VACANCY in ( '03' '05' ) ) ) or ( BLD = '01' and ( ( INTSTATUS = '1' and TENURE in ( '2' '3' ) ) or ( INTSTATUS in ( '2' '3' ) and VACANCY in ( '01' '02' '04' ) ) ) ),"HOAAMT is determined from multiple variables, including those that ask MH park fee (IFFEEMH1, CAMFMH1, FEEAMTMH1), other fees for utility hookups, mobile home association fees, etc. (IFOTHF1, FMHOTF1, MHOTFE1), homeowner or condo association fee (IFFEEHO, CAMFHO, FEEAMTHO)and so forth. The values shown in the microdata have converted to monthly amounts."
LOTAMT,7,Housing Costs,8,Total Housing Cost,1,"2019 National, 2019 Metro",PUF,Monthly lot rent amount,HOUSEHOLD,Numeric,JLOTAMT,Coming soon,"0: Does not pay lot rent or included in park or association fee||1 : 9995: $1 to $9,995||9996: $9,996 or more||M or -9: Not reported||N or -6: Not applicable",See User Notes,See User Notes,Noise,INTSTATUS in ('1' '2' '3') and (BLD = '01' and OWNLOT <> '1' and (TENURE in ('1' '2' '3') or VACANCY in ('01' '02' '03' '04' '05'))) or (OWNLOT = '2' and (TENURE = '1' or VACANCY in ('03' '05'))),"Respondents are first asked INCS (Do you pay rent for the land?), and if they reply yes, then asked FLRENT (How many times a year is the land/site rent due?), then asked LRENT (What is the cost?). The values shown in the microdata have been converted to monthly amounts."
